#Here are the data you should use to try out your skills with emcee! Good luck!
#   x-values              data_noisy                err
#------------------------------------------------------------
-41.8236472946          378.388851215          93.6004525016
-41.6633266533          241.673402318          92.5103970098
-41.503006012          254.105524013          90.1795804074
-41.3426853707          477.348769448          97.1511965116
-41.1823647295          486.700887559          113.171822633
-41.0220440882          435.005775447          94.9703421035
-40.8617234469          368.018759555          107.920708268
-40.7014028056          329.381998762          88.6895945635
-40.5410821643          364.521785792          102.517374139
-40.380761523          519.923451589          100.188035938
-40.2204408818          307.883689043          92.8861756318
-40.0601202405          584.570107087          109.428413113
-39.8997995992          366.955189769          104.280917804
-39.7394789579          453.320326191          116.589720671
-39.5791583166          548.686810153          110.515565686
-39.4188376754          430.239822184          126.986091466
-39.2585170341          383.305088457          101.295522217
-39.0981963928          456.598165468          98.526742584
-38.9378757515          593.375124752          114.850334357
-38.7775551102          472.789766769          95.6229880518
-38.6172344689          447.473783705          116.772418412
-38.4569138277          321.627945378          112.801436376
-38.2965931864          412.218457495          87.6059639677
-38.1362725451          495.120845522          80.4529845896
-37.9759519038          307.217773474          105.675701522
-37.8156312625          380.385102734          76.2004795613
-37.6553106212          585.197366863          107.463745623
-37.49498998          383.077528455          100.523668087
-37.3346693387          437.301993927          94.1840158739
-37.1743486974          397.23434833          103.556805383
-37.0140280561          495.561895864          112.247267179
-36.8537074148          467.349934002          111.424902707
-36.6933867735          582.651176353          92.3459875716
-36.5330661323          673.482834349          95.2018329211
-36.372745491          294.966071984          89.3634403411
-36.2124248497          342.873897784          91.0511119749
-36.0521042084          504.400947681          105.162701945
-35.8917835671          559.990118664          108.431491804
-35.7314629259          505.020286237          93.2759020126
-35.5711422846          504.042687062          94.6231978208
-35.4108216433          446.300621767          97.3255362725
-35.250501002          381.750178219          118.711290322
-35.0901803607          396.680592355          110.5192351
-34.9298597194          454.654318248          92.8822995759
-34.7695390782          397.927435108          101.445411494
-34.6092184369          518.426502306          109.464510036
-34.4488977956          366.342955584          81.8506636975
-34.2885771543          384.045488588          110.055638314
-34.128256513          446.591508905          93.9245101384
-33.9679358717          422.059369481          100.364037275
-33.8076152305          432.119800824          97.9312431625
-33.6472945892          358.605787192          87.9197487894
-33.4869739479          465.151993264          96.6096658808
-33.3266533066          391.557677422          96.9519207334
-33.1663326653          357.43297496          93.7639123867
-33.006012024          519.603623229          98.2407329938
-32.8456913828          417.253999006          115.805427627
-32.6853707415          472.385381108          102.742541078
-32.5250501002          360.651578941          91.6380377138
-32.3647294589          371.806307294          92.5989423096
-32.2044088176          473.346907143          99.7963108646
-32.0440881764          496.984683304          104.965634405
-31.8837675351          523.456863978          87.6357999412
-31.7234468938          468.809893613          99.4668295328
-31.5631262525          370.589168507          96.932557538
-31.4028056112          213.631292388          106.508150517
-31.2424849699          475.092480609          102.534522739
-31.0821643287          601.792848241          92.5021664503
-30.9218436874          471.441221096          104.66680751
-30.7615230461          417.074275917          83.3838193134
-30.6012024048          424.381609028          99.5306376968
-30.4408817635          401.147743993          89.117353018
-30.2805611222          347.957466374          99.0073957357
-30.120240481          278.200953843          110.582392892
-29.9599198397          573.252057834          100.003563421
-29.7995991984          266.119106649          74.4386209712
-29.6392785571          351.698218244          99.4143713818
-29.4789579158          348.55810456          116.349458456
-29.3186372745          371.806162825          90.6114453722
-29.1583166333          468.813344621          111.722302374
-28.997995992          294.923193326          102.761972015
-28.8376753507          310.718715886          119.941582543
-28.6773547094          402.397445661          87.3672564082
-28.5170340681          451.288455311          111.422344604
-28.3567134269          397.518612479          104.303081201
-28.1963927856          316.781048458          102.621705591
-28.0360721443          437.548724759          95.0291551731
-27.875751503          385.855051697          94.4553721414
-27.7154308617          387.516559026          114.721477965
-27.5551102204          432.62515232          91.0816971377
-27.3947895792          442.670937901          100.80343245
-27.2344689379          505.418308904          90.9181599463
-27.0741482966          625.854205833          106.638266926
-26.9138276553          388.710248611          109.814956635
-26.753507014          616.330049495          87.4032583071
-26.5931863727          696.864345706          96.7556963152
-26.4328657315          322.402331442          90.2466625892
-26.2725450902          476.806563918          112.971909035
-26.1122244489          280.149313411          107.991649125
-25.9519038076          540.287081537          114.578068653
-25.7915831663          508.956446386          93.4504750695
-25.6312625251          426.158112284          102.581526965
-25.4709418838          434.084100179          106.350596232
-25.3106212425          385.604257343          90.68466397
-25.1503006012          439.670322697          87.7766845409
-24.9899799599          347.911866223          94.8871181322
-24.8296593186          479.301116903          114.274753596
-24.6693386774          350.557854782          104.578911781
-24.5090180361          390.071997579          98.4345291284
-24.3486973948          454.878947264          96.8724796949
-24.1883767535          486.073647104          125.889642936
-24.0280561122          354.216278857          96.7506065203
-23.8677354709          395.17171783          80.0727310128
-23.7074148297          411.633392757          96.8711279505
-23.5470941884          442.067840062          107.693740312
-23.3867735471          328.561053663          95.0394698152
-23.2264529058          317.452681778          110.692628672
-23.0661322645          492.372087874          104.958263637
-22.9058116232          528.018566843          110.551484381
-22.745490982          247.433162202          99.097388125
-22.5851703407          451.585576243          96.7525706515
-22.4248496994          469.024474358          89.09433863
-22.2645290581          345.840435661          69.8051896712
-22.1042084168          460.934518139          86.9445551647
-21.9438877756          287.54964237          95.4144209434
-21.7835671343          587.24636402          93.3261145216
-21.623246493          363.743588858          98.9648150103
-21.4629258517          480.508643746          96.5903420777
-21.3026052104          533.80082004          106.045594695
-21.1422845691          510.806668916          84.2377708804
-20.9819639279          545.110233367          117.658745219
-20.8216432866          530.540375497          83.9798472255
-20.6613226453          387.639955522          105.458537559
-20.501002004          445.980331306          92.2711401244
-20.3406813627          357.791847311          92.6799721615
-20.1803607214          376.320833287          88.3829972743
-20.0200400802          412.555473825          112.218561641
-19.8597194389          454.292319934          90.7298981576
-19.6993987976          500.232705774          88.7089179987
-19.5390781563          548.789837513          90.6004491598
-19.378757515          334.661351819          105.374042725
-19.2184368737          342.724072506          104.787883975
-19.0581162325          356.572240518          100.880658801
-18.8977955912          457.244599287          113.487070927
-18.7374749499          461.126418662          109.291790664
-18.5771543086          295.590709242          87.5482019141
-18.4168336673          448.326938191          101.028244116
-18.2565130261          480.648978292          99.6453209525
-18.0961923848          410.985470129          103.9215242
-17.9358717435          347.910915276          100.638963923
-17.7755511022          463.984987915          99.1681955202
-17.6152304609          475.597137338          99.6867739701
-17.4549098196          460.2255799          90.7259286667
-17.2945891784          268.741203222          92.1441578294
-17.1342685371          440.907035922          101.616555536
-16.9739478958          479.49107782          94.5287316819
-16.8136272545          590.050120242          84.9198836351
-16.6533066132          517.054091151          110.848726627
-16.4929859719          499.723570572          90.1755812913
-16.3326653307          434.814513489          103.110770365
-16.1723446894          335.105549039          106.140449493
-16.0120240481          223.822833524          105.970673774
-15.8517034068          281.852910467          81.2544747085
-15.6913827655          513.163749847          108.150012391
-15.5310621242          362.373013093          110.606309359
-15.370741483          304.37914998          94.8556546686
-15.2104208417          401.009740048          99.740561694
-15.0501002004          435.925287603          117.199147912
-14.8897795591          362.303337818          78.1361817601
-14.7294589178          461.953505331          77.4791582795
-14.5691382766          344.854384657          103.311324351
-14.4088176353          563.95310459          86.7214173354
-14.248496994          296.105852766          79.7298770731
-14.0881763527          396.42391529          93.8934748681
-13.9278557114          286.201649595          101.894492312
-13.7675350701          304.40215556          99.7960704994
-13.6072144289          419.259996905          104.296330752
-13.4468937876          577.359033103          109.892403645
-13.2865731463          581.326678612          115.29710275
-13.126252505          388.24108878          107.190137234
-12.9659318637          606.071828339          105.07366237
-12.8056112224          423.280005977          100.637542245
-12.6452905812          366.833920705          102.178226189
-12.4849699399          570.794476205          99.4486784363
-12.3246492986          394.058895437          95.0890079117
-12.1643286573          594.544639531          93.5165906932
-12.004008016          414.021478097          104.595946986
-11.8436873747          631.776336781          87.0803178142
-11.6833667335          541.45638958          85.1861912847
-11.5230460922          452.975891244          98.0119555758
-11.3627254509          467.195353873          135.198777428
-11.2024048096          333.848880898          99.3494536837
-11.0420841683          320.906862583          89.8427995251
-10.8817635271          644.092815091          97.5817753776
-10.7214428858          600.745166164          93.3466714794
-10.5611222445          439.659554691          90.9270885272
-10.4008016032          337.714163229          104.065417043
-10.2404809619          443.556881546          99.2180478062
-10.0801603206          482.496677492          90.3313046704
-9.91983967936          435.126411156          108.143556669
-9.75951903808          321.056869197          102.136888583
-9.59919839679          405.866320983          97.0950652162
-9.43887775551          526.363920133          106.750156008
-9.27855711423          535.124178336          113.08695716
-9.11823647295          502.613249027          107.022037573
-8.95791583166          496.067759266          106.378467904
-8.79759519038          526.11919096          89.2932323805
-8.6372745491          475.887114972          109.274408626
-8.47695390782          599.165107902          97.2052993818
-8.31663326653          411.197766865          97.7749137309
-8.15631262525          565.013281388          101.146734687
-7.99599198397          641.964705951          103.250480271
-7.83567134269          517.912693285          94.4387186926
-7.6753507014          651.891331953          108.216133914
-7.51503006012          637.168813702          101.226071251
-7.35470941884          412.306174245          96.4815692169
-7.19438877756          659.915465942          101.708991714
-7.03406813627          582.37395784          107.844853299
-6.87374749499          579.930859987          94.1027823493
-6.71342685371          628.43927155          90.9251835008
-6.55310621242          632.302159928          115.813407848
-6.39278557114          759.892286481          90.6257574719
-6.23246492986          590.160376837          93.7136327915
-6.07214428858          774.264012609          101.405493493
-5.91182364729          541.136535775          90.6762894121
-5.75150300601          773.485570014          92.7810334008
-5.59118236473          776.106285862          104.066594068
-5.43086172345          532.585270443          90.6022926337
-5.27054108216          917.824710857          87.0536325392
-5.11022044088          752.021851092          100.610537147
-4.9498997996          786.524712469          114.690036735
-4.78957915832          887.100787846          96.7207354114
-4.62925851703          734.569890597          90.9760029293
-4.46893787575          898.84898175          94.8628433382
-4.30861723447          852.315073729          97.9189963084
-4.14829659319          826.548162761          84.420907606
-3.9879759519          873.27589072          102.334403013
-3.82765531062          926.521358258          96.4186109361
-3.66733466934          898.751369282          106.394789715
-3.50701402806          951.205479625          100.70207471
-3.34669338677          1046.60286184          95.8732982211
-3.18637274549          1058.94208872          101.067817815
-3.02605210421          707.440775708          99.2601375033
-2.86573146293          912.192284829          106.788230892
-2.70541082164          922.770172965          103.339915211
-2.54509018036          843.855611399          97.1640031613
-2.38476953908          1148.0785829          109.342009465
-2.2244488978          1044.020311          78.7183115407
-2.06412825651          1124.72088017          117.724626823
-1.90380761523          1046.09817039          112.770749064
-1.74348697395          1105.96879019          92.456173927
-1.58316633267          1063.11828099          107.668181288
-1.42284569138          1085.39604845          97.9089311753
-1.2625250501          1040.55202522          109.842812437
-1.10220440882          979.53295487          94.4579010732
-0.941883767535          1187.42674342          93.2084419899
-0.781563126253          1090.1273382          100.828389874
-0.62124248497          989.698708033          102.205586964
-0.460921843687          1080.09142274          79.7055968673
-0.300601202405          1153.90795433          100.4824214
-0.140280561122          1102.98781347          108.653262519
0.0200400801603          1120.49801694          103.81480953
0.180360721443          1295.10167505          82.5616235722
0.340681362725          1028.42312221          103.158136733
0.501002004008          1046.41008966          98.2197639049
0.661322645291          1171.31551997          99.329292462
0.821643286573          1260.5620211          95.4389129064
0.981963927856          1238.0759479          94.6331628341
1.14228456914          1150.39310619          122.493949582
1.30260521042          1054.88237536          104.89634728
1.4629258517          959.646369753          106.15222831
1.62324649299          1023.90093297          101.388350191
1.78356713427          1053.20997089          102.366637901
1.94388777555          1015.21859256          98.3512877325
2.10420841683          1148.90803574          98.0458032499
2.26452905812          1141.04011504          106.930960076
2.4248496994          1098.39305475          92.1991277275
2.58517034068          985.969987473          87.7317888657
2.74549098196          1134.729241          105.296209925
2.90581162325          931.457752204          100.620195833
3.06613226453          1028.06019793          72.9691163428
3.22645290581          1114.09431446          96.2312975839
3.38677354709          1144.01763119          101.508900917
3.54709418838          1122.02932605          83.9539484595
3.70741482966          939.675178249          78.0492039556
3.86773547094          870.464493063          125.537200641
4.02805611222          1097.26447304          93.6332348929
4.18837675351          1097.42382419          86.9638462201
4.34869739479          1052.49057696          102.051890085
4.50901803607          951.188350325          111.306648758
4.66933867735          977.637730479          104.611554652
4.82965931864          937.864759199          95.8122547399
4.98997995992          978.527649153          85.7001136747
5.1503006012          868.054567378          98.8613539673
5.31062124248          928.475490911          103.107320421
5.47094188377          808.785068952          107.329746564
5.63126252505          979.471403241          95.6944317553
5.79158316633          757.492013961          83.6688766408
5.95190380762          989.952038561          89.808772478
6.1122244489          696.244997731          116.224472415
6.27254509018          900.638436444          87.4181040895
6.43286573146          895.454707785          108.199899433
6.59318637275          806.463112317          111.80982186
6.75350701403          702.788474831          102.175765893
6.91382765531          776.147179681          82.0737968049
7.07414829659          665.424478193          88.4460245954
7.23446893788          730.37451048          82.1887537324
7.39478957916          800.558021952          112.729071089
7.55511022044          691.923787596          76.0272231881
7.71543086172          690.03038135          114.093898659
7.87575150301          558.391813676          107.143366531
8.03607214429          718.877727406          108.81926935
8.19639278557          572.89788017          101.969794304
8.35671342685          605.74330329          88.7095393167
8.51703406814          526.546747871          93.0191807591
8.67735470942          555.938994712          88.103391083
8.8376753507          428.725828176          107.707485586
8.99799599198          537.886510976          88.6087142979
9.15831663327          799.168542214          109.095209505
9.31863727455          541.36750961          90.1126318151
9.47895791583          471.210537122          101.811280252
9.63927855711          413.252944557          91.4505141673
9.7995991984          731.014351037          102.946327118
9.95991983968          661.878276527          98.8065406438
10.120240481          527.788867884          85.9374120072
10.2805611222          573.916296224          90.6241554493
10.4408817635          649.057284441          103.20833146
10.6012024048          616.274065373          115.000693715
10.7615230461          504.960113386          105.475880969
10.9218436874          636.908555659          96.24823788
11.0821643287          472.788021983          103.560957594
11.2424849699          408.268393254          94.8329612988
11.4028056112          384.578967223          95.087949727
11.5631262525          678.659949201          112.54544242
11.7234468938          502.845647253          87.6438441927
11.8837675351          240.183833551          109.983936067
12.0440881764          655.874225206          111.136378108
12.2044088176          597.586275194          90.1357450442
12.3647294589          468.389967135          98.2744979445
12.5250501002          630.302880661          107.188045793
12.6853707415          441.439849582          103.275567744
12.8456913828          497.469605112          95.688534526
13.006012024          458.526483811          91.5760067274
13.1663326653          548.883149729          115.091740404
13.3266533066          281.033420863          103.210983806
13.4869739479          347.069107827          103.452536847
13.6472945892          524.665647672          86.4150695415
13.8076152305          275.155844011          100.129823455
13.9679358717          456.7813083          114.142258842
14.128256513          524.324511393          97.9615435429
14.2885771543          500.369161443          94.016446926
14.4488977956          450.44656367          96.4598424266
14.6092184369          419.582302075          91.3060033336
14.7695390782          511.835844514          98.8667441107
14.9298597194          356.435949163          90.7292696571
15.0901803607          636.174650862          84.3812741073
15.250501002          533.987877241          114.340271506
15.4108216433          392.693571479          94.7046294818
15.5711422846          584.266586616          108.122397296
15.7314629259          468.596351565          100.89037358
15.8917835671          513.937029083          99.1008542657
16.0521042084          599.248282787          96.8309310132
16.2124248497          535.900570167          84.6937193709
16.372745491          489.995587939          108.357071797
16.5330661323          492.93268736          91.1341887089
16.6933867735          136.163802428          95.5897944985
16.8537074148          393.454495157          95.6248549343
17.0140280561          522.448431225          92.7225415804
17.1743486974          245.606633729          123.842612985
17.3346693387          601.620112524          79.1051090148
17.49498998          336.065993048          99.1797118234
17.6553106212          413.500043526          101.148407869
17.8156312625          387.916214723          111.608727598
17.9759519038          522.17259435          105.86683651
18.1362725451          316.571560306          94.4474657247
18.2965931864          360.058806367          95.5292412076
18.4569138277          548.881687605          107.602703751
18.6172344689          519.183438019          85.8465442392
18.7775551102          432.76375632          88.395254908
18.9378757515          361.739879313          94.4893661678
19.0981963928          461.643211288          107.428521979
19.2585170341          469.168981244          110.539365153
19.4188376754          438.599741293          106.799954372
19.5791583166          258.91793332          100.354244858
19.7394789579          447.795443161          117.896460628
19.8997995992          476.098551037          85.6033270717
20.0601202405          638.558763691          91.9625145737
20.2204408818          424.808521793          117.903506404
20.380761523          366.751271682          102.609045742
20.5410821643          364.962544273          84.3501552296
20.7014028056          507.132100721          116.247648663
20.8617234469          379.98452931          114.273028161
21.0220440882          501.898969586          103.662936484
21.1823647295          340.098049198          115.144436591
21.3426853707          461.331651437          78.307884236
21.503006012          474.213743978          113.062808669
21.6633266533          448.87284534          92.8352717717
21.8236472946          472.819043058          89.2176696379
21.9839679359          429.194965257          92.8893997008
22.1442885772          552.20439775          110.297193851
22.3046092184          609.982754839          81.413689545
22.4649298597          665.906196032          103.956610955
22.625250501          246.649936789          99.7560691375
22.7855711423          219.694087276          118.128118487
22.9458917836          583.177822456          102.963256772
23.1062124248          217.775087284          112.743506951
23.2665330661          442.468547119          95.8599764514
23.4268537074          405.474662242          112.580630875
23.5871743487          469.48407815          107.671514522
23.74749499          624.500482363          98.2553418186
23.9078156313          542.310826633          126.321527448
24.0681362725          388.838420879          94.4978027513
24.2284569138          416.660928119          117.587865803
24.3887775551          552.154766902          98.9213688004
24.5490981964          438.884882087          135.085102806
24.7094188377          575.449530797          105.286465539
24.869739479          629.238380173          111.051943881
25.0300601202          460.033424744          106.815919682
25.1903807615          257.463923156          96.2338271978
25.3507014028          386.871876859          102.477884513
25.5110220441          423.857339001          102.188817707
25.6713426854          197.777626531          89.2870159253
25.8316633267          384.693632192          103.931540744
25.9919839679          281.028402482          118.55384586
26.1523046092          365.755525995          107.371059164
26.3126252505          340.692394008          81.2843950522
26.4729458918          363.73837243          97.4060022349
26.6332665331          453.501593993          99.7613941411
26.7935871743          441.98824502          99.8449544578
26.9539078156          315.227383953          88.4790444412
27.1142284569          560.108836807          93.6336504403
27.2745490982          368.813983703          103.819160774
27.4348697395          424.196834059          127.944210484
27.5951903808          557.069186235          114.541826681
27.755511022          445.286531617          101.710051464
27.9158316633          253.198785135          102.795304697
28.0761523046          380.480638742          98.9280998691
28.2364729459          385.965090692          100.571395361
28.3967935872          463.405427553          108.767486894
28.5571142285          425.429206836          112.139497346
28.7174348697          386.058074226          87.3547098238
28.877755511          503.119354503          98.0571711901
29.0380761523          398.844774262          98.5278079221
29.1983967936          306.478050835          101.098611162
29.3587174349          540.777940494          77.1702080019
29.5190380762          439.443896267          114.593107692
29.6793587174          544.527352769          111.601740023
29.8396793587          426.921805066          94.6034951878
30.0                    418.81310707          111.659294541
